list_price,price_reduced_amount,description.year_built,description.baths_3qtr,description.sold_price,description.baths_full,description.baths_half,description.lot_sqft,description.sqft,description.baths,description.sub_type,description.garage,description.stories,description.beds,description.type,lead_attributes.show_contact_an_agent,location.address.postal_code,location.address.state_code,central_air,central_heat,community_outdoor_space,community_security_features,dishwasher,fireplace,hardwood_floors,laundry_room,single_story,garage_1_or_more,garage_2_or_more,city_view,two_or_more_stories,recreation_facilities,shopping,washer_dryer,basement,view,forced_air,family_room,dining_room,city_mean_price,state_mean_price
150000.0,0.0,1876,0.0,150000,1.8874299001504582,0.0,1442.0,1749.0,2.131203007518797,Unknown,0.0,1.0,4.0,multi_family,True,08618,NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204580.64516129033,260858.89570552149
750000.0,25000.0,2001,0.0,750000,3.0,0.0,7840.0,1933.8485593336065,3.0,Unknown,3.0,2.0,4.0,single_family,True,97302,OR,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,443936.96428571426,443936.96428571426
524000.0,0.0,1920,0.0,431000,2.0,0.0,5000.0,1574.0,2.0,Unknown,1.0,1.0,3.0,single_family,True,02906,RI,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,648633.7590361446,641018.8470588236
0.0,0.0,1975,0.0,721000,1.8874299001504582,0.0,251094.94678872835,1933.8485593336065,0.0,Unknown,0.0,1.0,0.0,land,True,43081,OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425305.50458715594,418949.1017964072
415000.0,0.0,1940,0.0,415000,1.0,0.0,5227.0,1291.0,1.0,Unknown,2.0,1.0,3.0,single_family,True,95820,CA,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,515502.09493670886,502160.7705882353
63500.0,0.0,1950,0.0,63500,1.0,0.0,6970.0,840.0,1.0,Unknown,0.0,1.0,2.0,single_family,True,72204,AR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,291081.25,284844.9685534591
529000.0,0.0,1981,0.0,525000,3.0,0.0,1917.0,1900.0,3.0,townhouse,0.0,2.0,3.0,townhomes,True,30327,GA,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,521587.06293706293,538346.7647058824
245000.0,0.0,1922,0.0,230000,2.0,0.0,7841.0,1728.0,2.0,Unknown,2.0,1.0,5.0,multi_family,True,06112,CT,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,321425.748502994,321425.748502994
0.0,0.0,1975,0.0,162000,1.8874299001504582,0.0,251094.94678872835,1933.8485593336065,2.131203007518797,Unknown,0.0,1.0,0.0,Unknown,True,46226,IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256955.0,254990.87719298244
250000.0,15000.0,2003,0.0,250000,2.0,1.0,1307.0,1600.0,3.0,townhouse,1.0,2.0,3.0,townhomes,True,30331,GA,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,521587.06293706293,538346.7647058824
159000.0,0.0,1962,0.0,150000,2.0,0.0,67954.0,1833.0,2.0,Unknown,2.0,1.0,3.0,single_family,True,36116,AL,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,181802.06172839506,181802.06172839506
115000.0,10000.0,1955,0.0,115000,1.0,0.0,6970.0,754.0,1.0,Unknown,0.0,1.0,2.0,single_family,True,72204,AR,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,291081.25,284844.9685534591
300000.0,0.0,2013,0.0,300000,2.0,0.0,2600.0,1202.0,2.0,townhouse,1.0,1.0,2.0,townhomes,True,19901,DE,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,313305.6380368098,313305.6380368098
40000.0,6000.0,1900,0.0,40000,1.8874299001504582,0.0,251094.94678872835,1933.8485593336065,2.131203007518797,condo,0.0,1.0,0.0,condos,True,02124,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1272012.0240963856,1272012.0240963856
540000.0,0.0,2016,0.0,540000,2.0,0.0,6004.0,1564.0,2.0,Unknown,2.0,1.0,3.0,single_family,True,98502,WA,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,461060.89090909093,460899.08928571426
101200.0,0.0,1968,0.0,68250,2.0,0.0,18731.0,2556.0,2.0,Unknown,0.0,1.0,3.0,single_family,True,36116,AL,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,181802.06172839506,181802.06172839506
655000.0,5000.0,2000,0.0,637500,3.0,0.0,333887.0,3587.0,3.0,Unknown,2.0,2.0,4.0,single_family,True,40601,KY,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,264654.7619047619,264654.7619047619
245000.0,1000.0,2018,0.0,250000,2.0,0.0,2000.0,1220.0,2.0,townhouse,0.0,2.0,3.0,townhomes,True,19901,DE,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,313305.6380368098,313305.6380368098
155000.0,0.0,1989,0.0,148000,1.0,1.0,9583.0,1092.0,2.0,Unknown,1.0,1.0,3.0,single_family,True,72002,AR,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,148000.0,284844.9685534591
215000.0,0.0,1960,0.0,225000,2.0,0.0,9017.0,1826.0,2.0,Unknown,0.0,2.0,3.0,single_family,True,48906,MI,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,160907.3619631902,160907.3619631902
299999.0,22501.0,1920,0.0,305000,2.0,0.0,16553.0,2324.0,2.0,Unknown,0.0,3.0,4.0,single_family,True,17109,PA,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,237009.97023809524,237009.97023809524
20000.0,0.0,1975,0.0,15400,1.8874299001504582,0.0,653400.0,1933.8485593336065,0.0,Unknown,0.0,1.0,0.0,land,True,25320,WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39817.62987012987,41715.42944785276
449900.0,10100.0,2002,0.0,449000,2.0,1.0,5227.0,1992.0,3.0,Unknown,2.0,2.0,4.0,single_family,True,97305,OR,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,443936.96428571426,443936.96428571426
640000.0,0.0,1920,0.0,637500,2.0,0.0,251094.94678872835,1015.0,2.0,condo,0.0,1.0,2.0,condos,True,02125,MA,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1272012.0240963856,1272012.0240963856
385000.0,0.0,1973,0.0,385000,2.0,0.0,8006.0,1215.0,2.0,Unknown,2.0,1.0,3.0,single_family,True,85053,AZ,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,551812.7549668874,536285.3456790124
134000.0,0.0,1971,0.0,135000,1.0,1.0,672.0,672.0,2.0,Unknown,0.0,1.0,2.0,mobile,False,98502,WA,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,461060.89090909093,460899.08928571426
49900.0,10000.0,1995,0.0,49900,2.0,0.0,251094.94678872835,1933.8485593336065,2.0,Unknown,0.0,1.0,3.0,mobile,False,48906,MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160907.3619631902,160907.3619631902
324000.0,0.0,2022,0.0,323000,3.0,0.0,251094.94678872835,2119.0,3.0,condo,2.0,2.0,3.0,condos,True,46239,IN,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,256955.0,254990.87719298244
0.0,0.0,1975,0.0,718800,1.8874299001504582,0.0,251094.94678872835,1933.8485593336065,0.0,Unknown,0.0,1.0,0.0,condo,True,43228,OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425305.50458715594,418949.1017964072
850000.0,0.0,2019,0.0,800000,2.0,1.0,10181.0,1965.0,3.0,Unknown,0.0,2.0,3.0,single_family,True,19901,DE,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,313305.6380368098,313305.6380368098
415000.0,0.0,1962,1.0,415000,1.0,1.0,12149.0,2620.0,3.0,Unknown,2.0,3.0,5.0,single_family,True,98503,WA,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,461060.89090909093,460899.08928571426
419000.0,6000.0,1985,2.0,417500,1.8874299001504582,0.0,12053.0,1190.0,2.0,Unknown,2.0,1.0,3.0,single_family,True,98513,WA,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,461060.89090909093,460899.08928571426
470000.0,5000.0,1992,0.0,470000,2.0,0.0,9680.0,1618.0,2.0,Unknown,2.0,1.0,3.0,single_family,True,98501,WA,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,461060.89090909093,460899.08928571426
214000.0,0.0,1952,0.0,214000,1.0,1.0,11718.0,1222.0,2.0,Unknown,2.0,1.0,3.0,single_family,True,50310,IA,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,213533.29341317364,285732.1787709497
99990.0,0.0,1953,0.0,107000,1.0,0.0,871.0,1222.0,1.0,townhouse,1.0,2.0,3.0,townhomes,True,17104,PA,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,237009.97023809524,237009.97023809524
110000.0,0.0,1947,0.0,100000,2.0,0.0,10454.0,1203.0,2.0,Unknown,0.0,2.0,3.0,single_family,True,48910,MI,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,160907.3619631902,160907.3619631902
368000.0,0.0,2015,0.0,364500,3.0,0.0,4684.0,2304.0,3.0,townhouse,2.0,1.0,3.0,townhomes,True,68516,NE,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,320872.5903614458,320872.5903614458
335000.0,0.0,2006,0.0,340000,2.0,1.0,37292.0,1728.0,3.0,Unknown,1.0,2.0,4.0,single_family,True,23231,VA,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,330549.0909090909,399187.591954023
499900.0,0.0,1966,0.0,556000,1.0,1.0,2597.0,1274.0,2.0,Unknown,0.0,1.0,3.0,single_family,True,02124,MA,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1272012.0240963856,1272012.0240963856
5000.0,0.0,1975,0.0,53325,1.8874299001504582,0.0,251094.94678872835,1933.8485593336065,0.0,Unknown,0.0,1.0,0.0,single_family,True,29201,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194372.60185185185,204393.7438016529
695000.0,0.0,1925,0.0,707000,3.0,0.0,10454.0,3261.0,3.0,Unknown,2.0,2.0,3.0,single_family,True,68502,NE,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,320872.5903614458,320872.5903614458
650000.0,0.0,1989,1.0,640000,1.0,0.0,4356.0,2636.0,2.0,townhouse,2.0,2.0,2.0,townhomes,True,68520,NE,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,320872.5903614458,320872.5903614458
127500.0,0.0,1922,0.0,130000,1.0,1.0,4792.0,1354.0,2.0,Unknown,0.0,2.0,3.0,single_family,True,48912,MI,1,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,160907.3619631902,160907.3619631902
89500.0,0.0,1950,0.0,89500,1.0,0.0,9757.0,936.0,1.0,Unknown,0.0,1.0,3.0,single_family,True,30315,GA,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,521587.06293706293,538346.7647058824
365000.0,0.0,1977,0.0,365000,2.0,1.0,1024.0,1746.0,3.0,townhouse,0.0,3.0,3.0,townhomes,True,21403,MD,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,740137.0760233918,740137.0760233918
775000.0,0.0,1925,0.0,759000,5.0,0.0,2814.0,2885.0,5.0,Unknown,0.0,2.0,4.0,single_family,True,23221,VA,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,448640.37272727274,399187.591954023
369900.0,15100.0,1978,0.0,374000,2.0,1.0,10026.0,1744.0,3.0,Unknown,1.0,2.0,4.0,single_family,True,19901,DE,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,313305.6380368098,313305.6380368098
1175000.0,0.0,2015,0.0,1150000,4.0,1.0,6098.0,3314.0,5.0,Unknown,2.0,2.0,5.0,single_family,True,72207,AR,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,291081.25,284844.9685534591
200000.0,0.0,1979,0.0,190000,2.0,0.0,4400.0,1850.0,2.0,townhouse,2.0,1.0,2.0,townhomes,True,68512,NE,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,320872.5903614458,320872.5903614458
476000.0,0.0,1985,0.0,468000,2.0,0.0,6098.0,1433.0,2.0,Unknown,2.0,1.0,3.0,single_family,True,95833,CA,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,515502.09493670886,502160.7705882353
320000.0,0.0,1972,0.0,292000,2.0,1.0,7865.0,2004.0,3.0,Unknown,2.0,2.0,4.0,single_family,True,43229,OH,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,425305.50458715594,418949.1017964072
225000.0,0.0,1979,0.0,225000,2.0,0.0,1742.0,1320.0,2.0,townhouse,1.0,2.0,2.0,townhomes,True,68506,NE,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,320872.5903614458,320872.5903614458
439000.0,11000.0,1967,0.0,399000,3.0,0.0,11761.0,1973.0,3.0,Unknown,1.0,2.0,4.0,single_family,True,27604,NC,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,635975.6140350878,635975.6140350878
299900.0,0.0,1920,0.0,298897,1.0,0.0,8960.0,1299.0,1.0,Unknown,0.0,1.0,2.0,single_family,True,23225,VA,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,448640.37272727274,399187.591954023
170000.0,0.0,1995,0.0,170000,2.0,0.0,6970.0,1109.0,2.0,townhouse,2.0,1.0,2.0,townhomes,True,68522,NE,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,320872.5903614458,320872.5903614458
40000.0,6000.0,1900,0.0,40000,1.8874299001504582,0.0,251094.94678872835,1933.8485593336065,2.131203007518797,condo,0.0,1.0,0.0,condos,True,02124,MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1272012.0240963856,1272012.0240963856
214900.0,5000.0,1982,0.0,200000,1.0,0.0,677.0,655.0,1.0,condo,0.0,2.0,1.0,apartment,True,85016,AZ,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,551812.7549668874,536285.3456790124
350000.0,0.0,1975,0.0,350000,2.0,0.0,11021.0,2946.0,2.0,Unknown,0.0,2.0,3.0,single_family,True,40601,KY,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,264654.7619047619,264654.7619047619
285000.0,0.0,2001,0.0,270000,2.0,0.0,29185.0,1670.0,2.0,Unknown,2.0,1.0,4.0,single_family,True,29172,SC,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,194372.60185185185,204393.7438016529
249900.0,0.0,1939,0.0,255000,1.0,1.0,5227.0,1398.0,2.0,Unknown,1.0,1.0,3.0,single_family,True,12208,NY,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,241932.6923076923,258116.47727272726
169000.0,0.0,1950,1.0,155350,1.8874299001504582,0.0,8899.0,850.0,1.0,Unknown,1.0,1.0,2.0,single_family,True,68510,NE,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,320872.5903614458,320872.5903614458
425000.0,0.0,1998,1.0,415000,2.0,1.0,10019.0,3376.0,4.0,Unknown,3.0,2.0,3.0,single_family,True,68507,NE,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1,320872.5903614458,320872.5903614458
219900.0,5000.0,2005,0.0,214000.0,2.0,0.0,6534.0,1672.0,2.0,Unknown,2.0,1.0,3.0,single_family,True,62712,IL,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,524855.7428571428,524855.7428571428
249000.0,0.0,1978,0.0,355000,2.0,0.0,6399.0,1378.0,2.0,Unknown,2.0,1.0,4.0,single_family,True,95826,CA,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,515502.09493670886,502160.7705882353
430000.0,10000.0,1900,0.0,420000,1.0,0.0,251094.94678872835,791.0,1.0,condo,0.0,1.0,2.0,condos,True,02128,MA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1272012.0240963856,1272012.0240963856
225000.0,5000.0,1965,0.0,210000,2.0,0.0,7200.0,2156.0,2.0,Unknown,2.0,2.0,4.0,single_family,True,73159,OK,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,247611.11111111112,302552.10365853657
0.0,0.0,1975,0.0,1059800,1.8874299001504582,0.0,251094.94678872835,1933.8485593336065,0.0,Unknown,0.0,1.0,0.0,condo,True,43228,OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425305.50458715594,418949.1017964072
325000.0,0.0,1990,0.0,313000,2.0,0.0,5101.0,1044.0,2.0,Unknown,2.0,1.0,2.0,single_family,True,95843,CA,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,394666.6666666667,502160.7705882353
147500.0,7400.0,1920,0.0,143500,1.0,1.0,2178.0,1483.0,2.0,Unknown,0.0,2.0,3.0,single_family,True,46208,IN,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,256955.0,254990.87719298244
229900.0,10000.0,1999,0.0,229000,2.0,0.0,3920.0,1631.0,2.0,condo,2.0,1.0,2.0,condos,True,17110,PA,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,237009.97023809524,237009.97023809524
360000.0,0.0,2021,0.0,360000,2.0,1.0,13068.0,2953.0,3.0,Unknown,2.0,2.0,4.0,single_family,True,46239,IN,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,256955.0,254990.87719298244
574995.0,15000.0,1974,0.0,570000,2.0,0.0,9998.0,2317.0,2.0,Unknown,2.0,2.0,4.0,single_family,True,98503,WA,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,461060.89090909093,460899.08928571426
525000.0,0.0,1947,0.0,487000,1.0,0.0,6970.0,676.0,1.0,Unknown,0.0,1.0,2.0,single_family,True,27604,NC,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,635975.6140350878,635975.6140350878
144900.0,0.0,1955,0.0,134000,1.0,0.0,6970.0,785.0,1.0,Unknown,0.0,1.0,2.0,single_family,True,68507,NE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,320872.5903614458,320872.5903614458
250000.0,5000.0,1922,1.0,248000,1.0,0.0,5053.0,1640.0,2.0,Unknown,1.0,1.0,3.0,single_family,True,55106,MN,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,349569.641025641,362704.0
280000.0,0.0,1922,0.0,288000,2.0,0.0,11539.0,1292.0,2.0,Unknown,0.0,1.0,3.0,single_family,True,23224,VA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,448640.37272727274,399187.591954023
420000.0,15500.0,1989,0.0,310000,3.0,0.0,22651.0,3137.0,3.0,Unknown,0.0,1.0,4.0,single_family,True,36117,AL,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,181802.06172839506,181802.06172839506
79900.0,0.0,1924,0.0,79900,1.0,0.0,5053.0,660.0,1.0,Unknown,0.0,1.0,1.0,single_family,True,48910,MI,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,160907.3619631902,160907.3619631902
75000.0,0.0,1975,0.0,63800,1.8874299001504582,0.0,251094.94678872835,1933.8485593336065,0.0,Unknown,0.0,1.0,0.0,single_family,True,25302,WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39817.62987012987,41715.42944785276
153900.0,1000.0,2004,0.0,151000,3.0,0.0,871.0,1209.0,3.0,condo,0.0,2.0,3.0,condos,True,32303,FL,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,303235.525,303235.525
354900.0,4100.0,1953,0.0,354900,2.0,1.0,26484.0,1558.0,3.0,Unknown,2.0,1.0,3.0,single_family,True,50321,IA,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,213533.29341317364,285732.1787709497
249900.0,0.0,1939,0.0,255000,1.0,1.0,5227.0,1398.0,2.0,Unknown,1.0,1.0,3.0,single_family,True,12208,NY,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,241932.6923076923,258116.47727272726
